Cristiano Ronaldo|Center-forward|Portugal|Unknown|Unknown|Unknown
Kylian Mbappe|Right-wing|France|Unknown|Unknown|Unknown
Virgil van Dijk|Center-forward|Netherlands|Unknown|Unknown|Unknown
Emiliano Martinez|Goalkeeper|Argentina|Unknown|Unknown|Unknown
Jordan Pickford|Goalkeeper|England|Unknown|Unknown|Unknown
Harry Kane|Right-wing|England|Unknown|Unknown|Unknown
Mohamed Salah|Mid-fielder|Morocco|Unknown|Unknown|Unknown
Ronaldinho|Left-wing|Brazil|Unknown|Unknown|Unknown
Lionel Messi|Mid-fielder|Argentina|Unknown|Unknown|Unknown
David Beckham|Mid-fielder|England|Unknown|Unknown|Unknown
Zinedine Zidane|Mid-fielder|France|Unknown|Unknown|Unknown
Thierry Henri|Center-forward|France|Unknown|Unknown|Unknown
